GenBank ID,UniProt ID
DAA12138.1,Q06631
DAA11064.1,O14467
DAA08250.1,P27476
DAA09970.1,Q02486
DAA11668.2,P38968
DAA07678.1,P32481
DAA08734.1,P22353
DAA09420.1,Q08045
DAA09495.1,P33322
DAA08210.1,P0CX29
DAA09101.1,P35691
DAA09008.1,P35997
DAA10489.1,P04840
DAA08131.1,P53221
DAA11728.1,Q12122
DAA09571.1,P27472
DAA10868.1,Q12000
DAA07031.1,P38061
DAA09338.1,Q07950
DAA08832.1,P0CS90
DAA11197.1,P02829
DAA09748.1,P05739
DAA09511.1,Q05775
DAA07093.1,P0CX83
DAA09274.1,Q03048
DAA09505.1,Q06287
DAA09302.1,P04802
DAA11057.1,Q08745
DAA09700.1,P35817
DAA11475.1,P11632
DAA11804.1,P33333
DAA12287.1,Q04119
DAA11835.1,P15646
DAA12346.1,Q12034
DAA07058.1,P34226
DAA11677.1,P17255
DAA10370.1,P53877
DAA12058.1,Q12449
DAA11369.1,P54115
DAA07310.1,P12709
DAA11545.1,Q06505
DAA09825.1,Q03640
DAA09773.1,P54839
DAA10979.1,P22276
DAA11354.1,P05626
DAA07733.1,P0CX31
DAA10320.1,Q01532
DAA11382.1,P29547
DAA07120.1,P02294
DAA08673.2,P08018
DAA09114.1,P36094
DAA11938.1,Q03195
DAA08863.1,P23641
DAA08432.1,P40474
DAA09990.1,Q04305
DAA07795.1,P39958
DAA11979.1,P39109
DAA12224.1,Q12159
DAA07225.1,P38264
DAA09742.1,P33442
DAA11424.1,Q12230
DAA08179.1,P53252
DAA11877.1,Q12117
DAA08069.1,P14120
DAA08529.1,P40548
DAA06989.1,P22336
DAA09659.1,P06168
DAA08908.1,P26783
DAA07173.1,P38079
DAA11201.1,Q12464
DAA08073.1,P00931
DAA07305.1,Q02753
DAA08717.1,P47031
DAA11237.1,Q12213
DAA10210.1,P32497
DAA08068.1,P04449
DAA09362.1,P06169
DAA10830.1,Q02792
DAA06783.1,P38804
DAA09633.1,P49167
DAA11637.1,P11484
DAA06982.1,P10591
DAA08444.1,P40482
DAA12425.1,P22943
DAA11940.1,Q12675
DAA10142.1,P0CX23
DAA09658.1,P15019
DAA09345.1,P23542
DAA08178.1,Q3E757
DAA10191.1,Q03532
DAA12164.1,Q06678
DAA07826.1,P32657
DAA08527.1,P0CX46
DAA11787.1,Q07451
DAA11328.1,Q02875
DAA11558.1,P49089
DAA06983.1,P32471
DAA08063.1,P53184
DAA10150.1,Q04792
DAA11462.1,P41807
DAA11791.1,P21954
DAA07697.1,P39954
DAA11681.1,P01097
DAA11718.1,P04050
DAA10457.1,P06786
DAA07840.1,P29311
DAA11995.1,Q03769
DAA07642.1,P32775
DAA07080.1,P28274
DAA07398.1,P38353
DAA09392.1,P41805
DAA08325.1,P39676
DAA06976.1,P31373
DAA07046.1,P09436
DAA07026.2,P07251
DAA09376.1,P37291
DAA07244.1,P16140
DAA11096.1,P40825
DAA07132.1,P00817
DAA07600.1,P0CX53
DAA09296.1,P10592
DAA08285.1,P00359
DAA10576.1,Q3E841
DAA10657.1,P04456
DAA07841.1,P16387
DAA09218.1,P36148
DAA11372.1,Q02785
DAA08135.1,P31787
DAA06952.1,P39730
DAA06901.1,P38891
DAA08798.1,P20459
DAA09709.1,Q06078
DAA09612.1,P06106
DAA11713.1,P53622
DAA09649.1,P05743
DAA06745.1,P38779
DAA08221.1,P53276
DAA06806.1,P38716
DAA11946.1,P34730
DAA06834.1,P0CX28
DAA09692.1,O13547
DAA12181.1,Q05498
DAA07168.1,P0CX48
DAA11306.1,P53551
DAA12395.1,P07283
DAA09195.1,P36136
DAA08617.1,P0C0W1
DAA10482.1,P25491
DAA08297.1,P07245
DAA07208.1,P38251
DAA07314.1,P38129
DAA10809.1,P15705
DAA11039.1,Q12256
DAA07047.1,P09435
DAA11910.1,P05756
DAA11920.1,P31688
DAA08264.1,Q3E772
DAA09910.1,Q03690
DAA09157.1,P21576
DAA09683.1,P11325
DAA11296.1,Q03012
DAA08150.1,P53235
DAA09076.1,P36008
DAA08228.1,P23638
DAA11327.1,P32589
DAA11409.1,Q02725
DAA11801.1,P41940
DAA09335.1,Q07938
DAA11600.1,Q06625
DAA10536.1,P25294
DAA07447.1,P25567
DAA08870.1,P47131
DAA06802.1,P38817
DAA08765.1,P16474
DAA09558.1,Q01662
DAA09842.1,P50094
DAA12185.1,P32466
DAA09281.1,P21801
DAA12184.1,P39003
DAA09978.1,P30771
DAA06760.1,P38790
DAA08055.1,P53179
DAA07487.1,P25343
DAA09310.1,P32892
DAA07361.1,P38144
DAA08429.1,P40471
DAA11599.1,P14020
DAA10318.1,P11412
DAA11340.1,Q02892
DAA09980.1,P07246
DAA09733.1,P50095
DAA08650.1,P11986
DAA11815.1,P12945
DAA09823.1,P38911
DAA07880.1,P33307
DAA09646.1,P38631
DAA07275.1,P00546
DAA12036.1,P15424
DAA07087.1,P38199
DAA07926.1,P39938
DAA11984.1,Q03921
DAA12334.1,P19358
DAA07236.1,P02994
DAA11643.1,Q07651
DAA10359.1,P40169
DAA11553.1,Q06508
DAA07130.1,P02309
DAA10528.1,P32588
DAA06885.1,P38879
DAA08616.1,P39516
DAA07584.1,P39976
DAA08800.1,P00358
DAA07656.1,P40010
DAA08448.1,P40485
DAA11607.1,P07257
DAA09058.1,P34247
DAA07201.1,P15731
DAA11036.1,P32563
DAA10594.1,P53742
DAA07406.1,P38152
DAA07077.1,P23724
DAA10725.2,P22768
DAA11763.1,Q12377
DAA06896.1,P0CX36
DAA09922.1,P36516
DAA12273.1,P33329
DAA11199.1,P09064
DAA11052.1,Q12404
DAA12496.1,P04806
DAA07940.1,P22147
DAA10821.1,P32480
DAA06762.1,P38792
DAA07288.1,P32909
DAA07652.1,P40007
DAA10258.1,P07281
DAA09525.1,Q04491
DAA12195.1,P32380
DAA07239.2,P38088
DAA09027.1,P36000
DAA08726.1,P40358
DAA09870.1,P34760
DAA09097.1,P14540
DAA06882.1,P29704
DAA06793.1,P38811
DAA09909.1,P23585
DAA09383.1,Q12133
DAA06914.1,P38693
DAA06652.1,P17076
DAA11844.1,Q12165
DAA11089.1,P19524
DAA10253.1,P42846
DAA12403.1,P02557
DAA12204.1,Q06344
DAA07365.1,P32449
DAA12001.1,Q03771
DAA11494.1,P23254
DAA11221.1,P21560
DAA09824.1,Q02326
DAA08308.1,P32905
DAA08052.1,P39936
DAA07500.1,P25619
DAA07037.1,P0CX41
DAA08315.1,P10834
DAA07454.1,P00815
DAA11580.1,P34167
DAA09537.1,Q05942
DAA11289.1,Q12080
DAA08358.1,P40340
DAA08121.1,Q3E792
DAA09489.1,P05759
DAA11401.1,P41338
DAA09120.1,P32861
DAA08724.1,P47035
DAA07337.1,P32473
DAA11187.1,O14455
DAA07131.1,P61830
DAA11210.1,Q08972
DAA10450.1,P48164
DAA09882.1,P26570
DAA11364.1,Q02754
DAA08758.1,P43638
DAA10997.1,Q12276
DAA10460.1,P40850
DAA11660.1,Q12443
DAA06716.1,P17423
DAA06651.1,P10080
DAA10950.1,P28006
DAA09094.1,P35725
DAA06671.1,P38701
DAA11700.1,P39517
DAA08027.1,P20447
DAA10959.1,P02992
DAA12329.1,P30605
DAA07631.1,P03962
DAA11265.1,Q99257
DAA08783.1,P47077
DAA06951.1,P39729
DAA07866.1,P04807
DAA10416.1,P53914
DAA11322.1,P00812
DAA06695.1,P10614
DAA09320.1,Q07896
DAA11606.1,P32349
DAA07463.1,P25384
DAA12270.1,Q01560
DAA10909.1,P28241
DAA08034.1,P53163
DAA08033.1,P27999
DAA10707.2,Q08235
DAA08523.1,Q01852
DAA09535.1,Q05812
DAA11672.1,P0CX85
DAA08859.1,P05375
DAA10777.1,P04786
DAA11656.1,P32495
DAA08360.1,Q3E705
DAA06839.1,P38845
DAA10919.1,Q99216
DAA08004.1,P02406
DAA08987.1,P05740
DAA07444.1,P17709
DAA08906.1,P00830
DAA09425.1,P38013
DAA11823.1,P32381
DAA12441.1,P43586
DAA08190.1,P48361
DAA08187.1,P07806
DAA09417.1,Q12452
DAA09661.1,Q06488
DAA07875.1,P53064
DAA09834.1,P23248
DAA10017.1,P38009
DAA10541.1,P40693
DAA07913.1,P53090
DAA12187.1,P10662
DAA10005.1,P07342
DAA07203.1,P09440
DAA09042.1,P28707
DAA08585.1,P40582
DAA06721.1,Q00772
DAA08303.1,P22803
DAA10414.1,P53912
DAA08784.1,P47079
DAA08828.1,P47108
DAA09079.1,P36009
DAA09605.1,P32835
DAA11754.1,P07269
DAA09799.1,P38427
DAA11412.1,P09547
DAA08428.1,P20967
DAA10331.1,P53865
DAA09022.1,P34163
DAA10430.1,P53550
DAA08513.1,P15790
DAA12323.1,Q03407
DAA09458.1,P43321
DAA07963.1,P05738
DAA09613.1,P19414
DAA09111.1,P36091
DAA06848.1,P38851
DAA07665.1,P40012
DAA06972.1,P31383
DAA11760.1,Q12154
DAA11775.1,Q07478
DAA07116.1,Q12490
DAA10641.1,Q08287
DAA07682.1,P40018
DAA11397.1,Q03088
DAA12308.1,Q03361
DAA11219.1,Q08965
DAA08653.1,P47006
DAA12142.1,Q06639
DAA08223.1,P53278
DAA11316.1,Q02950
DAA09932.1,Q05123
DAA10993.1,Q99297
DAA12402.1,P01123
DAA07910.1,P22137
DAA12484.1,P43613
DAA11578.1,P23293
DAA09881.1,P50109
DAA07199.1,P18759
DAA11211.1,Q08971
DAA06872.1,Q03558
DAA06756.1,P38787
DAA09165.1,Q02207
DAA07235.1,P33315
DAA10306.1,P53851
DAA07259.1,P12385
DAA07243.1,Q00764
DAA09379.1,P05749
DAA07530.1,P16120
DAA11790.1,P07255
DAA12167.1,Q06679
DAA06789.1,P32465
DAA08399.1,P32351
DAA07295.1,P0CX38
DAA12183.1,P39004
DAA07179.1,P38080
DAA07751.1,P00899
DAA09347.1,P05748
DAA10286.1,P53839
DAA12257.1,Q04048
DAA07089.1,P18239
DAA09090.1,P36010
DAA12182.1,Q05506
DAA09040.1,P32332
DAA12424.1,P35191
DAA11128.1,P48589
DAA08929.1,P32787
DAA08416.1,P16547
DAA10255.1,P42847
DAA10380.1,P53889
DAA11996.1,P14832
DAA11540.1,Q06494
DAA08689.1,P42943
DAA09996.1,Q03161
DAA10941.1,Q3E7X9
DAA07742.1,P40054
DAA07812.1,Q01477
DAA10336.1,P80210
DAA12223.1,Q06408
DAA09711.1,P0C2J3
DAA11020.1,Q08689
DAA08183.1,P53254
DAA12078.1,P36519
DAA06755.1,P38786
DAA09504.1,P49166
DAA10376.2,P53883
DAA11857.1,P32568
DAA06758.1,P38712
DAA07306.1,P38127
DAA11883.1,P14843
DAA11690.1,Q12680
DAA11784.1,P0C2H8
DAA07816.1,P39960
DAA08636.1,P08524
DAA11358.1,P40328
DAA09827.1,P54838
DAA08772.1,P09938
DAA10742.1,Q01855
DAA12421.1,P09624
DAA10878.1,P01119
DAA12430.1,P43582
DAA10439.1,P53930
DAA11662.1,P36521
DAA10395.1,P23292
DAA11458.1,Q12038
DAA08584.1,P40581
DAA12013.1,Q12329
DAA10172.1,Q03529
DAA08889.1,P00445
DAA10447.1,P01120
DAA07793.1,P32598
DAA09498.1,P14306
DAA09013.1,P36060
DAA12268.1,Q04067
DAA09983.1,Q04279
DAA06664.1,P23180
DAA10840.1,P19454
DAA07456.1,P25367
DAA07594.1,P09232
DAA10053.1,Q03799
DAA06957.1,P39732
DAA11059.1,Q08746
DAA06788.2,P32467
DAA10708.1,Q12387
DAA07956.1,P22855
DAA12014.1,P05453
DAA12238.1,P33298
DAA11736.1,Q07551
DAA07428.1,Q96VH5
DAA08472.1,P04801
DAA08847.1,P17106
DAA08273.1,P53297
DAA08510.1,P06102
DAA07304.1,P05755
DAA07118.1,P35194
DAA12133.1,Q05567
DAA06708.1,P38707
DAA07804.1,P40087
DAA08286.1,P16451
DAA11274.1,P26637
DAA11133.1,P46367
DAA08922.1,P47169
DAA11419.1,Q12532
DAA12419.1,P43574
DAA07955.1,P53111
DAA08738.1,P47039
DAA07640.1,P39968
DAA09400.1,Q12465
DAA07524.1,P25626
DAA07557.1,P15891
DAA10311.1,Q01080
DAA07148.1,P38071
DAA07658.1,P89886
DAA06759.1,P38789
DAA11292.1,P05744
DAA11004.1,P41056
DAA09231.1,P36160
DAA08359.2,P53327
DAA08505.1,P38626
DAA09812.1,P09733
DAA08894.1,P03965
DAA10485.1,P40991
DAA08644.1,P32478
DAA09346.1,P54113
DAA11174.1,P08417
DAA07509.1,P25623
DAA12150.1,P32776
DAA09321.1,Q07897
DAA11307.1,Q02931
DAA07562.1,P25655
DAA10001.1,P37012
sp|P62937|PPIA_HUMAN,P62841
DAA07705.1,P40032
DAA12266.1,Q04062
DAA09199.1,P25293
DAA06830.1,P38840
DAA08810.1,P41903
DAA11349.1,P48582
DAA09769.1,Q03103
DAA11841.1,P40327
DAA06731.1,P48836
DAA09219.1,P36149
DAA10144.1,P20107
DAA11671.1,P11076
DAA09142.1,P34241
DAA11323.1,Q02979
DAA12246.1,P34087
DAA07426.1,P25586
DAA11825.1,Q07349
DAA09838.1,Q04958
DAA11517.1,P30656
DAA11781.1,P32419
DAA07124.1,P18900
DAA08371.1,P53336
DAA07316.1,P29366
DAA07689.1,P40024
DAA08275.1,P49723
DAA11848.1,P32356
DAA12301.1,Q03306
DAA08427.1,P32597
DAA06888.1,P38882
DAA12480.1,P43609
DAA07746.1,P00927
DAA08779.1,P39077
DAA11988.1,Q03761
DAA07993.1,P12904
DAA09035.1,P12688
DAA06785.1,P28007
DAA10441.1,P06208
DAA11723.1,Q12434
DAA07809.1,P13393
DAA08507.1,P40531
DAA08730.1,P40362
DAA07726.1,P40043
DAA09638.1,Q12114
DAA10501.1,P53633
DAA08781.1,P47075
DAA08046.2,P53172
DAA10578.1,P53732
DAA09828.1,Q04636
DAA06675.1,P38689
DAA07760.1,P38620
DAA07184.1,P38241
DAA08691.1,P42945
DAA09159.1,Q02201
DAA10095.1,Q04336
DAA11666.1,P38988
DAA10828.1,P20449
DAA12328.1,Q04373
DAA09875.1,Q03718
DAA09538.1,Q05946
DAA07368.1,P33317
DAA07619.1,P23301
DAA09464.1,P52910
DAA10896.1,P07274
DAA09533.1,P53691
DAA08271.1,P32476
DAA11869.1,P07284
DAA07502.1,P25345
DAA07991.1,P53133
DAA09583.1,Q06151
DAA11715.1,P39078
DAA12232.1,P39743
DAA10272.1,P32074
DAA07684.1,P38555
DAA11318.1,Q02959
DAA09717.1,Q06991
DAA09948.1,Q04660
DAA11353.1,Q12672
DAA12177.1,P52918
DAA07481.1,P25342
DAA09422.1,Q12019
DAA09731.1,Q00416
DAA11803.1,Q07362
DAA10766.1,P22517
DAA10989.1,P38630
DAA07748.1,P52870
DAA12456.1,P23337
DAA09575.1,Q3E764
DAA11933.1,P35179
DAA09103.1,P35732
DAA08196.1,P53261
DAA10495.1,P53952
DAA07197.2,P38248
DAA12066.1,P02293
DAA08855.1,P40348
DAA10239.1,P42838
DAA07073.1,P07256
DAA12344.1,P17695
DAA12435.1,P43585
DAA08659.1,P14680
DAA09614.1,P37297
DAA09738.1,P07991
DAA10670.1,Q12469
DAA09847.1,P54003
DAA09307.1,P33750
DAA09017.1,P33299
DAA09740.1,P36517
DAA09045.1,P26793
DAA08475.1,P32565
DAA11710.1,Q99207
DAA07529.1,P25632
DAA09888.1,P27692
DAA10822.1,P38930
DAA06798.1,P38715
DAA07649.1,P33767
DAA11539.1,Q06493
DAA08038.1,P53166
DAA10215.1,P40302
DAA11151.1,P0CX10
DAA11102.1,P10964
DAA08955.1,P36036
DAA08156.1,P53045
DAA12188.1,Q05518
DAA06707.1,P04076
DAA11661.1,Q07622
DAA12074.1,Q04947
DAA11459.1,P07263
DAA09749.1,Q06205
DAA11649.1,P33327
DAA09705.1,P0C2H9
DAA12444.1,P43588
DAA09672.1,Q05931
DAA10289.2,P41832
DAA07056.1,P34227
DAA12098.1,P33416
DAA06994.1,P27616
DAA10978.1,P39744
DAA10408.1,P53552
DAA06858.1,P33334
DAA10368.1,P53875
DAA09589.1,Q06218
DAA07432.1,P25582
DAA09034.1,P33401
DAA08683.1,P46956
DAA07654.1,P40008
DAA10849.1,Q08484
DAA10580.1,P53734
DAA11782.1,Q07468
DAA10926.1,P33302
DAA08124.1,P28737
DAA10458.1,P48231
DAA09965.1,P54730
DAA10361.2,P08004
DAA09127.1,P36101
DAA11525.1,P07703
DAA12265.1,Q04053
DAA08053.1,Q01939
DAA10474.1,P12695
DAA08861.1,P47124
DAA09864.1,P15274
DAA11973.1,P08566
DAA09807.1,P23639
DAA08346.1,P53318
DAA07033.2,P38174
DAA12247.1,P32387
DAA08959.1,P22515
DAA08246.1,P32582
DAA08009.1,P21827
DAA08972.1,P07236
DAA12209.1,Q12458
DAA09995.1,Q03153
DAA07363.1,P38333
DAA09026.1,P36064
DAA09874.1,P02407
DAA08998.1,P32388
DAA06734.1,P16603
DAA07261.1,P38120
DAA06647.1,P38732
DAA06791.1,P38809
DAA07221.1,P38261
DAA12439.1,P25808
DAA10844.1,P07143
DAA11917.1,Q12447
DAA12085.1,P50108
DAA07671.1,P40015
DAA11277.1,Q12052
DAA10341.1,P40154
DAA07161.1,P38225
DAA08366.1,P53333
DAA08853.1,P35169
DAA08445.1,P40483
DAA07961.1,P53115
DAA10745.1,P40303
DAA09139.1,P34243
DAA06959.1,P32492
DAA11460.1,Q12406
DAA11261.1,P36534
DAA10141.1,Q04013
DAA09327.1,Q07915
DAA08802.1,P46965
DAA12406.1,P56628
DAA10914.1,P53598
DAA11582.1,P06780
DAA06881.1,P38876
DAA10111.1,Q03653
DAA07744.1,P40056
DAA11505.1,P20424
DAA08243.1,P13856
DAA08079.1,P43639
DAA08367.1,P53334
DAA10584.1,P32377
DAA11471.1,P08425
DAA07818.1,P40094
DAA08890.1,P47143
DAA08087.1,P21243
DAA11305.1,Q02457
DAA11529.1,Q06107
DAA09577.1,P0C0X0
DAA12468.1,Q00684
DAA08665.1,Q3E754
DAA09929.1,Q05050
DAA07698.1,P40030
DAA12091.1,P37304
DAA08980.1,P34232
DAA06863.1,P38861
DAA10479.1,P51401
DAA08535.1,P40553
DAA10025.1,Q04217
DAA09445.1,P16467
DAA10411.1,P27929
DAA11122.1,P06103
DAA11772.1,Q07505
DAA08462.1,P40498
DAA10981.1,P39683
DAA11416.1,Q12754
DAA10377.1,P53885
DAA10161.1,P38426
DAA12233.1,P17121
DAA08725.1,P47037
DAA11741.1,Q07534
DAA09164.2,Q02206
DAA10974.1,P25270
DAA10262.1,P48562
DAA10379.1,P39006
DAA09143.1,P33204
DAA11094.1,P22203
DAA10588.1,P53739
DAA12332.1,P51402
DAA08494.1,P41277
DAA08637.1,P08525
DAA07105.1,P32316
DAA09674.1,P51862
DAA11101.1,P46669
DAA12079.1,P41810
DAA09411.1,Q12072
DAA12219.1,Q06405
DAA08638.1,P38970
DAA10945.1,Q12123
DAA09912.1,Q04347
DAA09772.1,Q03124
DAA10169.1,Q03525
DAA10135.1,P11745
DAA06692.1,P08539
DAA11184.1,Q12045
DAA11828.1,Q00055
DAA09382.1,Q99382
DAA07137.1,P38069
DAA11992.1,Q00402
DAA07094.1,P38203
DAA08023.1,P53155
DAA09720.1,Q06697
DAA07169.1,P21538
DAA10246.1,P32453
DAA09890.1,P25087
DAA08354.1,P00958
DAA10592.1,P53741
DAA11466.1,P38431
DAA10274.1,Q12112
DAA06910.1,O13535
DAA12326.1,Q03430
DAA12132.1,P24276
DAA12454.1,P43596
DAA11764.1,P33775
DAA08339.1,P53315
DAA10125.1,Q05016
DAA09378.1,P15624
DAA08645.1,P47001
DAA08248.1,P05374
DAA12075.1,P49367
DAA09987.1,Q04304
DAA08849.1,P40354
DAA11755.1,P43124
DAA07258.1,P38112
DAA07915.1,P32803
DAA11826.1,Q12100
DAA12495.1,P32496
DAA12455.1,P27466
DAA10031.1,P40207
DAA09211.1,P36144
DAA07783.1,P39962
DAA09743.1,P06701
DAA08993.1,P36048
DAA09077.1,P31412
DAA11445.1,P30665
DAA09781.1,Q03735
DAA11451.1,P37366
DAA10179.1,Q03262
DAA08423.1,P40467
DAA08658.1,P39515
DAA07786.1,P40078
DAA08581.1,P38998
DAA10674.1,Q08245
DAA10065.1,P54114
DAA10348.1,P40159
DAA10539.1,P38922
DAA07482.1,P25348
DAA08176.1,P12754
DAA07330.1,P38314
DAA10872.1,Q12189
DAA08322.1,P50085
DAA10966.1,Q12113
DAA09977.1,P24280
DAA10820.1,P38909
DAA08862.1,P32458
DAA09587.1,P29496
DAA07815.1,P39952
DAA10443.1,P13382
DAA08567.1,P07266
DAA09032.2,P36006
DAA08458.1,P40494
DAA07621.1,P24279
DAA10107.1,P07277
DAA09062.1,P28319
DAA07608.1,P37303
DAA09926.1,Q04372
DAA08328.1,P50089
DAA10148.1,Q04781
DAA08152.1,P53236
DAA07864.1,P32804
DAA09125.1,P36013
DAA08180.1,P26263
DAA09305.1,Q07807
DAA07483.1,P25349
DAA08095.1,P53196
DAA09599.1,P0CX33
DAA10204.1,P00331
DAA08731.1,P40363
DAA07989.1,P53131
DAA12151.1,Q12153
DAA09500.1,P10659
DAA07401.1,P37302
DAA10646.1,P07260
DAA09515.1,P21304
DAA10401.1,P53905
DAA10496.1,P53953
DAA11549.1,Q06506
DAA06963.2,P10962
DAA06768.1,P38795
DAA06811.1,P38825
DAA09055.1,P14904
DAA08792.1,P47083
DAA11304.1,P35189
DAA07466.1,P25374
DAA08225.1,P40961
DAA08749.1,P47047
DAA07098.1,P36775
DAA11192.1,Q12179
DAA11028.1,Q08723
DAA09778.1,P32340
DAA06687.1,P38755
DAA09230.1,Q02046
DAA09570.1,Q06146
DAA11707.1,Q12136
DAA08006.1,P53011
DAA12249.1,Q04183
DAA10906.1,P32913
DAA07320.2,P38132
DAA12019.1,P21734
DAA08341.1,P53316
DAA08699.1,P32477
DAA08846.1,P47116
DAA10682.1,Q12272
DAA07104.1,P16892
DAA07177.1,P38237
DAA07711.1,P40036
DAA11000.1,Q12363
DAA10007.1,Q04458
DAA08040.1,P11154
DAA11689.1,Q12515
DAA08170.1,P53248
DAA10863.1,P48439
DAA07732.2,P40047
DAA10308.1,P53617
DAA12110.1,Q05580
DAA11527.1,Q06106
DAA08320.1,P32566
sp|O76011|KRT34_HUMAN,Q8WUK0
DAA12310.1,P06782
DAA08129.1,P40989
DAA07674.1,P40016
DAA08368.1,P53335
DAA09001.1,Q03178
DAA07728.1,Q01217
DAA07274.1,P38286
DAA11542.1,P45978
DAA10037.1,P40210
DAA10560.1,P53629
DAA10517.1,P53968
DAA07018.2,P24583
DAA09668.1,Q3E747
DAA07774.1,P39969
DAA06781.1,Q00539
DAA06729.1,P38771
DAA06683.1,P32902
DAA09806.1,Q04500
DAA12007.1,Q12030
DAA11176.1,Q00776
DAA08732.1,P40364
DAA11530.1,Q06108
DAA12197.1,Q06336
DAA08057.1,P07273
DAA06828.1,P23291
DAA07285.1,P32590
DAA06985.1,P34111
DAA07252.1,P38111
DAA11170.1,P41819
DAA07628.1,P08067
DAA10857.1,Q08492
DAA10884.1,Q12271
DAA08370.1,P15703
DAA09822.1,P12683
DAA06699.1,P0C2H6
DAA06878.1,P38873
DAA11948.1,Q03862
DAA10957.1,P32836
DAA08514.1,P13517
DAA08002.1,P46672
DAA11906.1,Q12176
DAA11761.1,Q12191
DAA11598.1,P54999
DAA10399.1,P53903
DAA12487.1,P43616
DAA07435.1,P16550
DAA11256.1,Q08920
DAA10860.1,Q12043
DAA10199.1,Q03579
DAA08175.1,P35180
DAA08279.1,P36421
DAA07731.1,P40046
DAA10562.1,P53723
DAA07238.1,P07253
DAA09148.1,P28496
DAA08504.1,P40529
DAA08712.1,P05150
DAA07166.1,P38230
DAA08217.1,P49090
DAA06763.1,P38793
DAA10081.1,P39926
DAA07771.1,P25302
DAA07568.1,P25346
DAA10797.1,P38903
DAA10804.1,Q12314
DAA08076.1,P39007
DAA10343.1,P40156
DAA08305.1,P53303
DAA06777.1,P38691
DAA07764.1,P22202
DAA10347.1,P40150
DAA08809.1,P22696
DAA09033.1,P36069
DAA08632.1,P27614
DAA12032.1,P22213
DAA10086.1,Q03246
DAA11603.1,P20435
DAA11514.1,Q06090
DAA08766.1,P20448
DAA09832.1,P54784
DAA08896.1,P47148
DAA09213.1,P36145
DAA12139.1,P32264
DAA09844.1,P00175
DAA11054.1,P22082
DAA06840.1,P32904
DAA09440.1,Q12220
DAA09771.1,Q03104
DAA11437.1,P22138
DAA11123.1,P21242
DAA08397.1,P40453
DAA06851.1,P38853
DAA09523.1,Q05785
DAA09147.1,P33201
DAA07339.1,P38137
DAA10991.1,Q12044
DAA09343.1,P39929
DAA07743.1,P40055
DAA12102.1,Q07791
DAA06767.1,P38713
DAA12316.1,P27809
DAA10924.1,P08518
DAA11642.1,Q07653
DAA12493.1,P30657
DAA08879.1,P0CX26
DAA08957.1,P32368
DAA07873.1,P53063
DAA10891.1,P04051
DAA09775.1,P09734
DAA07794.1,P40081
DAA12474.1,P05747
DAA10835.1,Q08444
DAA08728.1,P40360
